MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test
37.121917113976096	72.42524987082895	12.384852297954478	4.532379582137179	11.37085663421939	3714
37.94326606277204	76.82387583373469	12.824848007525164	4.64174172940749	11.727313087423948	3713
39.673074614069215	79.2041900656912	13.406378894474203	4.751681314170919	12.087668720491697	3706
42.060376445390446	80.6633676692187	14.557149612876215	5.179031934646834	13.194459536422825	3696
40.222415101061685	78.4060420120178	13.906693533180398	4.8998568243224305	12.465236556508954	3651
43.05794915767023	74.90985390099127	14.646364218426578	5.307110114564472	13.59104609318581	3648
38.49899216365553	85.9236301683713	13.616004804704039	4.7526043093871575	12.016156611649457	3627
36.92538541493275	78.45941172655385	12.84319355983211	4.618401991948715	11.563032346164988	3624
41.245705671600646	82.44343123314026	13.733331563800629	5.010636237326012	12.795251390310362	3595
39.65728803723664	79.84677015504536	13.959041897466113	5.027099280290532	12.807598331534667	3581
