val_loss	duration	params_dropout_rate	params_ffn_hidden_dim	params_ffn_layers	params_final_lr	params_init_lr	params_max_lr	params_mp_depth	params_mp_hidden_dim	params_warm_up_epochs
0.057095158845186234	0 days 02:35:07.096581	0.10082428398454879	1493	3	0.0001	0.0001	0.001	4	451	2
0.05784905329346657	0 days 01:27:24.366953	0.10791396815948011	1259	3	0.0001	0.0001	0.001	4	478	2
0.057968273758888245	0 days 01:40:26.253593	0.10788614954157526	1403	3	0.0001	0.0001	0.001	4	455	2
0.05811864510178566	0 days 01:27:13.571085	0.10948275440738714	1444	3	0.0001	0.0001	0.001	4	454	2
0.05823315680027008	0 days 01:38:36.185567	0.13702516369364787	1254	3	0.0001	0.0001	0.001	4	480	2
0.058859117329120636	0 days 01:40:34.670697	0.18320322015846546	1091	3	0.0001	0.0001	0.001	4	484	2
0.05917266011238098	0 days 02:15:49.461539	0.10591616073791156	1361	3	0.0001	0.0001	0.001	4	455	2
0.05936369299888611	0 days 01:49:50.207453	0.19488248550004966	1267	3	0.0001	0.0001	0.001	3	505	2
0.05957106128334999	0 days 01:29:08.135664	0.10291029931293108	1416	3	0.0001	0.0001	0.001	4	455	2
0.05993693321943283	0 days 01:30:08.950821	0.10131197986717895	1434	3	0.0001	0.0001	0.001	4	446	2
0.05996621772646904	0 days 01:14:31.923960	0.10549279146834026	1360	3	0.0001	0.0001	0.001	4	455	2
0.05998171493411064	0 days 01:54:13.905773	0.15459514743799882	1234	3	0.0001	0.0001	0.001	4	480	2
0.060437217354774475	0 days 01:32:27.955306	0.10839729707437634	1193	3	0.0001	0.0001	0.001	5	454	2
0.06049297749996185	0 days 02:19:41.863421	0.22293624861002942	1210	3	0.0001	0.0001	0.001	4	515	2
0.06052858754992485	0 days 01:08:32.581646	0.1646372635534497	1225	3	0.0001	0.0001	0.001	4	462	2
0.060879312455654144	0 days 01:16:53.355522	0.1710517791268385	1163	3	0.0001	0.0001	0.001	4	482	2
0.061202261596918106	0 days 01:39:17.577868	0.1636253755514029	1377	3	0.0001	0.0001	0.001	6	460	2
0.061272092163562775	0 days 01:39:03.358045	0.18122984528111544	1202	3	0.0001	0.0001	0.001	5	473	2
0.06131092458963394	0 days 01:33:59.990935	0.20691417989127808	1109	3	0.0001	0.0001	0.001	4	479	2
0.06135430186986923	0 days 02:10:19.533923	0.16313983470125967	1509	3	0.0001	0.0001	0.001	6	460	2
0.06138395518064499	0 days 01:04:48.216912	0.14885309654974674	1212	3	0.0001	0.0001	0.001	3	500	2
0.06149058789014816	0 days 01:57:51.130044	0.12235971317080947	1361	3	0.0001	0.0001	0.001	4	447	2
0.06153314933180809	0 days 01:27:51.754922	0.19495432078463193	1081	3	0.0001	0.0001	0.001	4	495	2
0.06155533343553543	0 days 00:53:11.135158	0.11903161531335381	1225	3	0.0001	0.0001	0.001	4	462	2
0.06155543774366379	0 days 01:35:16.288087	0.10944996863742572	1451	3	0.0001	0.0001	0.001	4	437	2
0.061619799584150314	0 days 01:51:47.832887	0.18725105631278643	1203	3	0.0001	0.0001	0.001	5	469	2
0.0617455430328846	0 days 01:48:31.211736	0.19782115790444355	1136	3	0.0001	0.0001	0.001	4	528	2
0.06183461472392082	0 days 01:53:46.070267	0.1703124244405789	1176	3	0.0001	0.0001	0.001	4	484	2
0.061907462775707245	0 days 01:24:51.366544	0.1425446682071029	1175	3	0.0001	0.0001	0.001	4	511	2
0.06214364245533943	0 days 01:36:44.383018	0.13879184358315563	1912	4	0.0001	0.0001	0.001	4	403	2
0.06221858412027359	0 days 01:00:08.313419	0.186516929243882	1037	3	0.0001	0.0001	0.001	4	467	2
0.06224997714161873	0 days 01:43:39.992767	0.11267112417304503	1922	4	0.0001	0.0001	0.001	3	515	2
0.06226953864097595	0 days 01:51:46.346312	0.19738942884668317	1989	3	0.0001	0.0001	0.001	4	436	2
0.062273818999528885	0 days 01:33:36.005388	0.19573215516791598	1064	3	0.0001	0.0001	0.001	4	498	2
0.062285415828228	0 days 01:19:28.873348	0.10262884084063618	1776	4	0.0001	0.0001	0.001	3	438	2
0.062309205532073975	0 days 01:00:41.175812	0.11409747563880733	1451	3	0.0001	0.0001	0.001	4	443	2
0.06233220174908638	0 days 01:09:21.325833	0.19549047453237905	1238	3	0.0001	0.0001	0.001	3	485	2
0.06295034289360046	0 days 01:09:00.407027	0.1330540141371917	1290	3	0.0001	0.0001	0.001	4	442	2
0.06305000931024551	0 days 00:55:08.283708	0.17813674327614482	1099	3	0.0001	0.0001	0.001	3	492	2
0.06310629844665527	0 days 01:56:07.357722	0.21070505903526215	1728	4	0.0001	0.0001	0.001	3	420	2
0.06311433762311935	0 days 01:21:04.592840	0.16258471540501315	1328	3	0.0001	0.0001	0.001	6	446	2
0.06316657364368439	0 days 02:02:13.292463	0.23214708760988897	1460	3	0.0001	0.0001	0.001	6	558	2
0.0631677657365799	0 days 01:18:41.530651	0.1560397823907297	1314	3	0.0001	0.0001	0.001	4	503	2
0.06333804130554199	0 days 01:32:21.458573	0.14368106376994566	1250	3	0.0001	0.0001	0.001	5	471	2
0.06340601295232773	0 days 01:16:46.776991	0.12852579951894874	1239	3	0.0001	0.0001	0.001	4	488	2
0.063478484749794	0 days 02:05:15.765114	0.18030674679409028	1336	3	0.0001	0.0001	0.001	5	482	2
0.06370408087968826	0 days 01:51:30.131981	0.21549879133324934	1264	3	0.0001	0.0001	0.001	5	537	2
0.06378331035375595	0 days 01:54:52.878504	0.20514484347150672	1299	3	0.0001	0.0001	0.001	6	465	2
0.06387236714363098	0 days 01:31:56.945292	0.19954449033095298	1132	3	0.0001	0.0001	0.001	4	531	2
0.064158134162426	0 days 01:31:45.642750	0.215528934385785	1145	3	0.0001	0.0001	0.001	4	530	2
0.06432211399078369	0 days 01:25:53.179188	0.24376941383773815	1061	3	0.0001	0.0001	0.001	4	489	2
0.06433278322219849	0 days 01:05:27.856583	0.2238152550682734	1088	3	0.0001	0.0001	0.001	4	458	2
0.06434459239244461	0 days 01:16:56.697293	0.11970940060064741	1758	4	0.0001	0.0001	0.001	3	441	2
0.064376600086689	0 days 01:05:49.255095	0.1501142793448961	1154	4	0.0001	0.0001	0.001	3	500	2
0.06441281735897064	0 days 01:35:20.012663	0.17664122376776567	1378	3	0.0001	0.0001	0.001	6	453	2
0.0645354613661766	0 days 01:55:51.500915	0.146304371785838	1097	4	0.0001	0.0001	0.001	5	594	2
