MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test
80.80654010076009	141.34569227277458	27.792079859721444	8.540012522680732	22.400903829331433	5072
56.12615961067633	91.66378069305992	20.619068076346327	6.920343066221936	19.40344740275264	2954
52.626170070853505	88.54014847021023	17.30983871502736	7.5456317582700985	18.9168691771366	2979
49.48682332512293	93.57014989570996	14.823492841557034	6.0696542816054855	14.435645906637044	2878
56.69583262360455	106.23361000742754	20.067053327314916	7.067010336665591	16.73665823955765	2946
63.363973834781724	112.36634653944093	20.025142359280142	7.248387968766957	18.611472747070653	2951
60.54572987554063	115.62561059096116	18.62860340122141	6.892391408256186	17.73259746784968	2922
54.977768382424856	97.85277703850886	18.60941786578987	6.838593910838238	16.298937144753427	2929
68.62512158780207	150.42685757345583	19.82777489703571	7.936583217456924	19.121595028456973	2903
55.59932263652121	95.06896789101981	17.690911712185052	6.713498521865983	16.282652719112843	2892
