Bemis-Murcko scaffold	MAE	RMSE	MRE	Mean_relative_error_max	Mean_relative_error_mean	n molecules test
B1OCc2cc(Oc3ccccn3)ccc21	72.77359497070313	72.77359497070313	27.950069121136508	16.25281288429139	38.029404534012855	1
B1OCc2ccccc21	2.5796899414062437	2.5796899414062437	3.1253815621592484	0.576132289933501	1.3480723659942355	1
C(#CC1CCCC2NCCC12)c1ccccc1	11.088510131835932	11.088510131835932	4.632759612214721	2.4764405332847805	5.794539044729764	1
C(#CC1CCCCC1)c1ccc2ncn(-c3ccncn3)c2c1	36.383610839843755	36.383610839843755	21.80356615319935	8.125694756084455	19.0130370169776	1
C(#CC1CCCCO1)c1ccc2c(c1)C1(CCNCC1)c1cc(C#CC3CCCCO3)ccc1-2	23.08221801757813	23.08221801757813	19.1299668635655	5.155042437372282	12.062108610769345	1
C(#Cc1ccc2c(c1)N(c1ccncn1)CC2)Cc1nccs1	7.129275512695301	7.129275512695301	4.186303882968468	1.5922091103929117	3.7255559879358526	1
C(#Cc1cccc2cc[nH]c12)c1ccc(OCCCCc2ccccc2)cc1	41.84383544921877	41.84383544921877	11.245319927228907	9.345148170720647	21.866394620103968	1
C(#Cc1ccccn1)c1ccc2c(c1)CCCS2	44.42516357421874	44.42516357421874	12.809285385565637	9.921646322632379	23.21532305410765	1
C(#Cc1ccccn1)c1ccccc1	9.582620239257807	9.582620239257807	5.175598292874862	2.140124227098849	5.007603949224459	1
C(#Cc1ccccn1)c1cccnc1	13.116983642578134	13.116983642578134	8.923725180337529	2.9294674920890955	6.854561430013875	1
C(#Cc1cn(-c2ccccc2)cn1)c1ccncc1	70.64894531249999	70.64894531249999	31.085908968407615	15.778306528609075	36.91912323792755	1
C(#Cc1cn(C2CCCO2)c2ncncc12)c1ccccc1	28.289195556640607	28.289195556640607	18.190069159362533	6.317937188815573	14.783126519974504	1
C(#Cc1cnn2ccc(-c3ccccc3)nc12)c1cccnc1	19.445777587890632	19.445777587890632	8.113224961569856	4.342901909033999	10.161808588211738	1
C(#Cc1cscn1)c1cccnc1	67.85671997070312	67.85671997070312	49.80309722620413	15.154707872678026	35.459985935227806	1
C(#Cc1n[nH]c2ncncc12)c1ccccc1	10.734178466796862	10.734178466796862	4.925742688508104	2.3973062504013	5.609375425502132	1
C(#Cc1nc2ncccc2nc1OCCN1CCCC1)c1ccccc1	8.146274414062503	8.146274414062503	5.9804532643706665	1.8193394707125476	4.257010599272697	1
C(#Cc1nn(C2CCNC2)c2ncncc12)c1ccccc1	13.973933715820323	13.973933715820323	7.156211254068889	3.1208535188092554	7.302379089893104	1
C(=C(c1ccccc1)c1ccc2[nH]ncc2c1)c1ccccc1	38.954010009765625	38.954010009765625	13.608387776337336	8.699752101519927	20.3562542908556	1
C(=C(c1ccccc1)c1ccccc1)c1ccccc1	27.826070648193365	37.085190530503006	5.691473068836212	3.5398301919184822	7.532140665074577	20
C(=C1CCCC1Cn1cncn1)c1ccccc1	23.291511962890628	82.36319011123425	2.941688658959486	1.8480864276271163	4.252726620878676	30
C(=C1SCC(c2ccccc2)S1)n1ccnc1	29.277115478515622	29.565766474605866	15.472651103267006	6.5385732263970935	15.299385286238833	3
C(=C1c2ccccc2-c2ccccc21)c1ccccc1	28.38465576171876	28.38465576171876	9.16225169842439	6.339256691468367	14.833011299711966	1
C(=C1c2ccccc2C(c2ccccc2)C1c1ccccc1)c1ccccc1	306.8388916015624	306.8388916015624	19.50784484719705	8.356178965184162	22.543222952121674	1
C(=CC1=[NH+]c2ccc3ccccc3c2C1)C1=CC(=CC=C2Cc3c(ccc4ccccc34)N2)CCC1	12.648975830078143	12.648975830078143	3.4161492505680027	2.824945468572035	6.6099938992521245	1
C(=CC1=[NH+]c2ccccc2C1)C=C1Cc2ccccc2N1	129.07315704345703	130.04796135184296	103.24604472723466	28.82641527681281	67.44994947224842	2
C(=CC1CCCC1)CCCc1ccccc1	11.933855590820315	11.933855590820315	6.266464813495229	2.6652348559094863	6.236292464272249	1
C(=CC1CCCC1)CCOc1ccccc1	5.205800170898442	5.271579512592197	2.0713166244682957	1.1626318051854658	2.7204026501924137	3
C(=CC1CCCCC1)COC1CCCCO1	28.51889282226562	31.264553345850167	35.83939539429669	6.369236381603006	14.903159757831268	2
C(=CC=C1Cc2ccccc2N1)C=CC1=[NH+]c2ccccc2C1	66.60833190917968	66.60864868826631	46.37328930124835	14.875900462118029	34.80761395022117	2
C(=CC=CC=CC=CC=CC1=CCCCC1)C=CC=CC=CC=CC1=CCCCC1	119.59454736328128	143.89132422550477	25.812015821785955	17.982683387933836	43.33140266716696	5
C(=CC=CC=CC=CC=CC1C=CCCC1)C=CC=CC=CC=CC1=CCCCC1	122.80925903320313	131.89392152786633	33.2844421988153	21.797880552574217	42.96476994177401	2
