MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test
126.87713917975034	140.202113757256	103.14417597144335	28.335969979397525	66.30237318806952	8236
187.60106856113464	521.1068473132431	25.571484464417455	10.913849472783578	24.787441784067063	746
91.06789420871054	131.9579939106464	22.692499333299118	8.615446138824478	20.852212601625016	3490
118.0528288034772	222.0363065770596	21.736934857399667	7.831601068192183	19.13619130649967	3426
127.35697550131745	205.87871038142643	58.03722126214745	28.073406512422046	71.15289971965908	3391
411.13117934143696	714.6458109731049	85.7175502859879	34.59870122158123	64.85195357238145	3362
71.13779452156133	123.68626185947485	21.255898887004264	6.944150503790291	19.95725292384539	3490
47.05328587930893	73.20689945946923	17.404673917219487	6.857625618989485	18.68537894941506	3468
53.878651356395984	108.8295370649188	23.833251619602017	6.87419213260675	20.261392763772054	3484
73.77478260236418	135.6891038620397	18.837582285453422	9.426577288744726	24.249509857856825	3462
