cc_id	mean_MAE	std_MAE	mean_RMSE	std_RMSE	mean_MRE	std_MRE	mean_rel_max_rt_error	std_rel_max_rt_error	mean_rel_mean_rt_error	std_rel_mean_rt_error
cc_0	91.16881799032521	27.85122850112575	116.22539859001274	32.95943143211667	92.7986973644924	113.56764527421196	19.639986641603883	5.999833800328686	31.58713590387284	9.649577115809855
cc_1	74.77671418440968	21.772716825357076	100.27786822041087	25.35219513104766	23.57428045442473	7.5784963995246875	6.845177058257935	1.993108460761358	46.843608548348286	13.639441571152984
cc_10	245.39520751953123	64.7969042000254	302.70756764981223	76.19792505805707	32.09858768029522	14.124247586969945	13.780054330611593	3.638640172957401	50.69945515808504	13.38725304409399
cc_100	252.778285761966	106.81597769086787	322.93337917160153	135.07789575503648	94.07054817242512	73.23652527308943	12.325477397870452	5.20835053055147	32.13831803174406	13.580620074041647
cc_101	36.863012141927086	10.83738198369066	46.52098740340824	14.225196276824047	50.490009446769676	26.679171388557894	13.60459556463208	3.999624292770394	24.080041725264614	7.0793078263695985
cc_102	59.62222620646158	21.757181055877123	69.17027822867227	20.939975918159337	40.23584848719476	22.240082788050234	14.699759912835693	5.364196512790218	26.55647015035902	9.690915050128384
cc_104	70.39235174210808	14.496273516691945	97.88785752456117	20.237790792436904	19.853686422001388	4.7842989954567114	7.110338559808897	1.464270052191105	13.373559094643271	2.754088558340104
cc_106	385.57935165405274	93.80766534582415	502.661520594367	145.73152059546203	70.9225500976768	52.898304804358176	13.673026654399033	3.3265129555256796	28.225366279073352	6.866954111552705
cc_107	56.46533403868004	7.84227215375178	81.58311497999556	14.193352301439361	21.19675806228221	3.9222962322333013	6.445814387977173	0.8952365472319385	29.255552326239826	4.06320102867954
cc_108	68.02558637983343	25.34992441943266	88.9747990668002	34.42611745298524	34.097465475591996	16.232414969715183	8.204948422327572	3.0575969049347056	24.35921064242434	9.07752775925441
cc_109	64.95237990669582	22.01524322469767	97.19189310802054	45.940099990453945	10.12962961807157	3.2751252406679323	5.340600222553513	1.8101663562487804	11.185245196059919	3.79117584102188
cc_11	249.11528808593752	73.76507641469682	296.39036768179676	86.08900529636917	44.74848031449259	11.751369455386326	15.626351027847038	4.62709047890458	54.600764514134575	16.167733412236785
cc_110	327.95605597245066	133.14804867259025	426.3880266237615	133.3091478934812	34.05737786960521	18.376244751626928	10.447122068439432	4.2414643435458155	19.676814478785264	7.988660078784796
cc_111	136.73720891893527	33.65548029136312	181.24219739088292	56.960482804785684	32.40621999536686	29.810153892222885	9.595593608346332	2.3617880906219737	26.016324207566942	6.4034646717162245
cc_112	15.649567597156436	5.757421694683597	20.63101073267304	8.515748668888573	13.274566721168425	3.7637917672230614	4.643926406467977	1.7084844341623187	15.45668568797082	5.686461108612258
cc_113	25.318600579833987	4.053840075784389	31.480707346879775	4.028632565040957	17.197320644858216	4.314011914516407	7.652129410292255	1.2252062972721578	20.602179464828197	3.298679186461195
cc_114	63.64756943088108	33.88316611602706	76.5744058515298	35.346291126418535	25.142195049505013	18.95373905768851	11.541647523098876	6.144265425602412	18.85544486378199	10.037809396711008
cc_115	101.96162036430546	32.07526058666724	120.68768504838215	35.021389694560064	70.33894495994788	42.30571827906748	18.27072722723461	5.747636559987678	38.59175439863625	12.140259976353416
cc_116	63.699106800707085	12.992048960605878	82.12272103970494	16.444337527808095	29.1068815665513	15.289897928758464	13.254079650584076	2.7032977446121262	19.425257231084633	3.9619691027726227
cc_117	74.64722243683248	12.793180675752353	92.57059814648763	15.782665616644277	34.33801734219155	19.46978680027252	14.917510478983308	2.556590862460503	22.607882767131947	3.8745812569368514
cc_118	22.61283318752713	5.228709717705814	30.236250600370003	9.751048870944622	16.855502997636005	3.25958566997401	6.787583126977977	1.5694761271816935	18.813237949834093	4.350138670110034
cc_12	220.04324009672123	52.09854012816688	249.83788636422466	52.7169270141296	38.765791673535155	15.086020714392902	13.399296072142324	3.172484479854273	45.3299270889339	10.73254067887583
cc_125	61.359222847285835	5.089165588081351	88.98261365993692	7.592915463592358	7.9706112141197	0.6566103145377116	4.3059103752481285	0.3571344272337792	8.842200975916485	0.7333767091791653
cc_13	71.30796387511415	17.305156373375336	96.72019696707112	26.86550253110609	24.70360802552527	8.701547333307772	7.133649847450395	1.7312081205857683	40.91560287866545	9.929478664771349
cc_14	35.50576495025118	2.1906679780582414	49.9805439479824	4.165537413564046	15.197008515975085	1.9061462030672935	6.2062165618338	0.3829169687219436	18.58588851644079	1.1467295768384551
cc_144	141.3750991821289	42.335528062679224	167.3001688798955	52.86256022145835	22.88360635900587	9.092663207176084	11.618597894652275	3.479251155709995	22.30824673920174	6.680323559950028
cc_147	79.20240323187659	7.713171791573062	117.79984015574716	23.15098603820553	16.054040269068125	1.8460566753753607	6.072919070984795	0.5914147318698245	10.855901366231626	1.0572082256768824
cc_148	72.82675546568555	11.188979547034037	104.12667689456191	15.395420543409887	13.384367711234955	2.274896197717745	5.663969658006792	0.8702027194980544	9.575728373540509	1.4711987130880997
cc_149	34.613056491283665	6.111192788022644	45.91390816646519	6.740971234593144	36.621610226029205	20.57578643242485	8.273510013214375	1.4607497820113402	18.76843780590557	3.313707409537353
cc_15	39.779832526034994	5.286581978081853	52.5047602645134	5.321145409543949	16.762478908825482	3.131206760662702	7.535771865961014	1.0014741945294108	20.23703430869078	2.6894216006598253
cc_150	90.22153808593751	61.3684126672639	98.5501732199941	66.04241323551526	28.652373257589403	17.02348856359852	13.461882734398312	9.156731224599207	25.963779701843936	17.660483083617912
cc_151	168.49225115094868	35.6063511077682	197.51564209520023	39.30676770209658	46.344906289548405	28.598471039276298	15.285655421980481	3.230216286800043	29.91822124044716	6.322419474667051
cc_152	199.43318130735366	40.479785731508116	238.57922695089147	44.07423751322191	49.090997079491196	24.337193084023305	17.154657076396376	3.4819523922643243	29.381122205626813	5.963609082693672
cc_153	176.63298215282205	71.58972939284058	202.3514629952097	70.37794691603037	52.796244522245125	37.819316914628146	16.341288014878533	6.6231593480285476	30.306800635507674	12.283411794415533
cc_154	207.79191305409302	54.53852763687809	248.19288801895564	68.311064672031	58.45739301792895	56.72295399294132	17.076915931467216	4.482127517823644	27.505230739469336	7.219216401615917
