metric	aggregated mean	standard deviation
MAE	57.1377	15.2671
RMSE	108.7048	38.0905
MRE	18.8158	5.6007
rel_max_rt_error	6.7304	1.1678
rel_mean_rt_error	16.9108	3.4769
