cc	MAE	RMSE	MRE	Mean_relative_error_max	Mean_relative_error_mean	n molecules test
cc_0	120.83932495117188	145.43956740329403	180.41374984394895	26.03173738715465	41.867035943912015	13
cc_1	69.8856471266702	96.85726836228326	27.108897264666297	6.3974411503725905	43.77961686142499	107
cc_10	179.27087342505362	244.50973529928777	22.8396559634852	10.06687294615081	37.03795074172689	51
cc_100	214.49577095128313	272.50202130513486	51.8115053812826	10.458820736241533	27.271065956147485	79
cc_101	31.395836573358793	42.7906310761242	32.33947389550132	11.586889789400205	20.508716210583284	67
cc_102	58.41597047028718	70.41391572427709	38.12325671720779	14.402359583404136	26.01918906426728	54
cc_104	65.428341422494	90.43366756589744	17.835802547527425	6.6089233760094945	12.430466788266099	508
cc_106	301.07460602405024	430.38638469521436	34.83963945262147	10.676404468937951	22.039408998179443	153
cc_107	50.995453411599854	71.5464328138725	19.306755985441644	5.821398791278524	26.42152359643174	184
cc_108	84.26531939551944	103.4446505340898	42.19176759418427	10.163713923326993	30.17447954870021	84
cc_109	69.41702439681343	100.29886339648914	11.19513189119431	5.707698108601663	11.954087591164448	92
cc_11	168.75048746458242	214.38331751491697	31.231783700791663	10.585277096009435	36.98651214260506	71
cc_110	526.8782092120196	698.8835481958764	44.919737698980796	16.783836939730495	31.61181074957922	74
cc_111	136.5787920450427	168.9284197928482	27.452684364751672	9.584476634739838	25.98618299886653	97
cc_112	22.04742336619984	29.174955648700507	23.241909221752863	6.542456264636885	21.775687480521515	88
cc_113	46.09505965795272	55.374113535946265	29.23282197522456	13.931471471560654	37.50834049933621	78
cc_114	65.96568143717448	78.87478213780089	22.887555513134455	11.9620065711338	19.54218017062199	90
cc_115	93.01486697313261	109.43755261288563	70.02947776261078	16.667538790297215	35.20547132169351	82
cc_116	39.57141105555281	58.178463733465726	18.04049470844823	8.233751780181608	12.067435123636098	79
cc_117	47.231489620933054	63.01731947862137	20.095136048702308	9.438746926645296	14.304671297993096	79
cc_118	24.073057172908346	29.302698267345143	20.930928118708547	7.225891392138178	20.028103025307455	86
cc_12	179.32544370952405	227.191828081468	30.649298830248487	10.91982972290367	36.94187235640768	76
cc_13	64.35248503060177	89.16287207959492	21.69249313973659	6.437823632513183	36.92463756753355	116
cc_14	33.461100627177466	45.905015545474356	15.066359331162607	5.848820245967046	17.51558618059651	370
cc_144	48.27015075683594	64.1705423871961	8.956291298523968	3.9669749142698816	7.616775793272665	46
cc_147	78.92780953256339	113.78037185061514	16.271775045399792	6.051864339748303	10.818264097741105	1093
cc_148	77.06890336852372	109.84203463586047	14.822069120761741	5.993895065953517	10.13351315714388	963
cc_149	39.40431417267898	52.65616202382809	49.01659532046238	9.418757570675728	21.36642916873076	232
cc_15	33.38141201369827	52.341551267351306	15.197898406626042	6.323674322516153	16.981991559457384	370
cc_150	57.030530090332036	73.09441215399676	18.022849375574772	8.50947927340078	16.412135627020064	20
cc_151	88.09047897338867	110.7147194600683	21.74231728711455	7.991588327335697	15.641730827975598	60
cc_152	100.89755750528971	121.47566753621204	23.02596150510031	8.678911841564283	14.86454484594268	60
cc_153	79.0311883544922	95.40459559673388	19.190884462054644	7.311609617401442	13.560222107185785	49
cc_154	86.01868965842506	104.66341677635782	19.18263236930073	7.0692545741637955	11.386217452773877	44
cc_155	85.26319020397257	108.40939864666213	19.9425942989725	7.790861677994569	14.749316324579532	53
cc_156	92.66517861288104	110.60697547279979	21.77115383666904	8.014632296564697	13.072849604908187	61
cc_157	107.15538007653278	133.10671694013033	21.888080264428275	10.477694345999097	19.1732357709227	46
cc_158	94.44253544398715	112.86243530479634	15.677729000782902	8.345929254505759	13.00184778289311	56
cc_159	77.60086336377643	95.62550593239978	15.931788608924554	6.835875912947181	12.817199592592074	71
cc_16	32.07402150527291	44.510840815853314	15.375834390731375	5.642463849354884	16.886402070316336	368
cc_160	80.40653304838798	102.67224369741037	15.28157294655494	6.380255590077127	10.49982959382733	71
cc_161	67.39237138775032	85.31456637402611	12.598644860506719	6.072041246598761	11.028808313283449	71
cc_162	83.41532174373019	106.90877452381567	16.06439065674527	6.711670186325689	11.428810972759416	69
cc_163	66.35939083475462	81.11734475616416	13.772290559304972	5.9763852115309115	10.890338324816886	71
cc_164	74.97587865829469	93.43359355307044	14.479965194866953	6.472588716659302	10.025255546859038	64
cc_165	113.08740485392826	145.80670780785823	21.21442882604195	10.212343307860882	17.81637992185887	71
cc_166	94.58120898260587	118.22999062882802	14.467666320718674	8.205046236953107	12.093347452567958	69
cc_167	73.93852084786549	92.93471840024753	13.990526634336298	6.7089976088728145	11.613686726150442	70
