epoch,step,train_loss_epoch,train_loss_step,val/mae,val/rmse,val_loss
0,49,,0.6975835561752319,,,
0,99,,0.49788475036621094,,,
0,149,,0.43423739075660706,,,
0,199,,0.433925598859787,,,
0,249,,0.5105821490287781,,,
0,299,,0.366712361574173,,,
0,349,,0.295942485332489,,,
0,399,,0.2564311623573303,,,
0,449,,0.4342479705810547,,,
0,499,,0.31371384859085083,,,
0,549,,0.28767266869544983,,,
0,599,,0.2835436165332794,,,
0,649,,0.2610223889350891,,,
0,699,,0.3170897662639618,,,
0,749,,0.40180668234825134,,,
0,799,,0.1715426743030548,,,
0,849,,0.24584117531776428,,,
0,899,,0.3016608655452728,,,
0,949,,0.29950055480003357,,,
0,974,,,0.4861246943473816,0.6720906496047974,0.45170584321022034
0,974,0.3726081848144531,,,,
1,999,,0.28991252183914185,,,
1,1049,,0.26625996828079224,,,
1,1099,,0.33343514800071716,,,
1,1149,,0.28378361463546753,,,
1,1199,,0.23436573147773743,,,
1,1249,,0.6248156428337097,,,
1,1299,,0.28503504395484924,,,
1,1349,,0.2262449413537979,,,
1,1399,,0.147902250289917,,,
1,1449,,0.1526069939136505,,,
1,1499,,0.2818199098110199,,,
1,1549,,0.211259126663208,,,
1,1599,,0.37896931171417236,,,
1,1649,,0.2102678120136261,,,
1,1699,,0.16369760036468506,,,
1,1749,,0.1209488958120346,,,
1,1799,,0.14539796113967896,,,
1,1849,,0.12809182703495026,,,
1,1899,,0.33528804779052734,,,
1,1949,,0.4616551697254181,,,
1,1949,,,0.32433170080184937,0.47967907786369324,0.23009201884269714
1,1949,0.2554886043071747,,,,
2,1999,,0.25325891375541687,,,
2,2049,,0.2184493988752365,,,
2,2099,,0.3008477985858917,,,
2,2149,,0.1541920304298401,,,
2,2199,,0.31616103649139404,,,
2,2249,,0.11963082104921341,,,
2,2299,,0.13224834203720093,,,
2,2349,,0.16680490970611572,,,
2,2399,,0.20113977789878845,,,
2,2449,,0.18398112058639526,,,
2,2499,,0.18502435088157654,,,
2,2549,,0.1460440456867218,,,
2,2599,,0.15833088755607605,,,
2,2649,,0.18584375083446503,,,
2,2699,,0.15132048726081848,,,
2,2749,,0.08767050504684448,,,
2,2799,,0.18128637969493866,,,
2,2849,,0.17373809218406677,,,
2,2899,,0.3257727026939392,,,
2,2924,,,0.3102191090583801,0.45397019386291504,0.20608893036842346
2,2924,0.21449215710163116,,,,
3,2949,,0.5639729499816895,,,
3,2999,,0.08729061484336853,,,
3,3049,,0.16943299770355225,,,
3,3099,,0.32310569286346436,,,
3,3149,,0.1967397928237915,,,
3,3199,,0.1433200240135193,,,
3,3249,,0.10528766363859177,,,
3,3299,,0.25941041111946106,,,
3,3349,,0.25741955637931824,,,
3,3399,,0.21261192858219147,,,
3,3449,,0.12951841950416565,,,
3,3499,,0.24679316580295563,,,
3,3549,,0.1318962275981903,,,
3,3599,,0.22006963193416595,,,
3,3649,,0.20447145402431488,,,
3,3699,,0.17135269939899445,,,
3,3749,,0.2146446257829666,,,
3,3799,,0.26211458444595337,,,
3,3849,,0.2142428606748581,,,
3,3899,,0.12549172341823578,,,
3,3899,,,0.24618586897850037,0.3931618630886078,0.15457624197006226
3,3899,0.18728666007518768,,,,
4,3949,,0.21714890003204346,,,
4,3999,,0.2839471697807312,,,
4,4049,,0.15252965688705444,,,
4,4099,,0.312691867351532,,,
4,4149,,0.1689113825559616,,,
4,4199,,0.2710345685482025,,,
4,4249,,0.1404644101858139,,,
4,4299,,0.13952696323394775,,,
4,4349,,0.1427232176065445,,,
4,4399,,0.21626092493534088,,,
4,4449,,0.3776242434978485,,,
4,4499,,0.14763696491718292,,,
4,4549,,0.16239261627197266,,,
4,4599,,0.1000877320766449,,,
4,4649,,0.14728447794914246,,,
4,4699,,0.11521238833665848,,,
4,4749,,0.1752839982509613,,,
4,4799,,0.26721400022506714,,,
4,4849,,0.12361414730548859,,,
4,4874,,,0.266518771648407,0.39705023169517517,0.15764889121055603
4,4874,0.1753176748752594,,,,
5,4899,,0.09791012853384018,,,
5,4949,,0.1572435051202774,,,
5,4999,,0.10590027272701263,,,
5,5049,,0.12864084541797638,,,
5,5099,,0.06977754086256027,,,
5,5149,,0.23646944761276245,,,
5,5199,,0.28724175691604614,,,
5,5249,,0.08278875797986984,,,
5,5299,,0.08122937381267548,,,
5,5349,,0.19690564274787903,,,
5,5399,,0.09364219009876251,,,
5,5449,,0.21659335494041443,,,
5,5499,,0.0751933604478836,,,
5,5549,,0.1827879399061203,,,
5,5599,,0.361256867647171,,,
5,5649,,0.09302446991205215,,,
5,5699,,0.2662999629974365,,,
5,5749,,0.12377624213695526,,,
5,5799,,0.10959531366825104,,,
5,5849,,0.1828078180551529,,,
5,5849,,,0.23081614077091217,0.3747096061706543,0.14040729403495789
5,5849,0.16033490002155304,,,,
6,5899,,0.10995721071958542,,,
6,5949,,0.08222612738609314,,,
6,5999,,0.3167599141597748,,,
6,6049,,0.14515076577663422,,,
6,6099,,0.1964494287967682,,,
6,6149,,0.08405467122793198,,,
6,6199,,0.14516672492027283,,,
6,6249,,0.10126852989196777,,,
6,6299,,0.14890944957733154,,,
6,6349,,0.21428467333316803,,,
6,6399,,0.10527905821800232,,,
6,6449,,0.07946451008319855,,,
6,6499,,0.12728402018547058,,,
6,6549,,0.1329413503408432,,,
6,6599,,0.07678533345460892,,,
6,6649,,0.07611173391342163,,,
6,6699,,0.23354791104793549,,,
6,6749,,0.09760788828134537,,,
6,6799,,0.2326342910528183,,,
6,6824,,,0.22595597803592682,0.37296926975250244,0.13910607993602753
6,6824,0.14998933672904968,,,,
7,6849,,0.11778469383716583,,,
7,6899,,0.09581217914819717,,,
7,6949,,0.194783553481102,,,
7,6999,,0.09134506434202194,,,
7,7049,,0.08331826329231262,,,
7,7099,,0.10791437327861786,,,
7,7149,,0.1360853910446167,,,
7,7199,,0.21007491648197174,,,
7,7249,,0.09973631054162979,,,
7,7299,,0.1471087783575058,,,
7,7349,,0.15201690793037415,,,
7,7399,,0.1393188238143921,,,
7,7449,,0.05142864212393761,,,
7,7499,,0.31910574436187744,,,
7,7549,,0.15420496463775635,,,
7,7599,,0.29131177067756653,,,
7,7649,,0.069987453520298,,,
7,7699,,0.13181643187999725,,,
7,7749,,0.13904717564582825,,,
7,7799,,0.09882070869207382,,,
7,7799,,,0.21579217910766602,0.36148905754089355,0.1306743323802948
7,7799,0.14064791798591614,,,,
8,7849,,0.07874307036399841,,,
8,7899,,0.13874851167201996,,,
8,7949,,0.08217298239469528,,,
8,7999,,0.0860600396990776,,,
8,8049,,0.08557887375354767,,,
8,8099,,0.13084033131599426,,,
8,8149,,0.10541148483753204,,,
8,8199,,0.08459390699863434,,,
8,8249,,0.09009072184562683,,,
8,8299,,0.06475701928138733,,,
8,8349,,0.07811298966407776,,,
8,8399,,0.21998505294322968,,,
