	MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test	test_fold	val_fold
run_1	72.89353126953273	138.08718176806133	24.436367617836456	8.015584583528836	21.028078872286656	5238	0	1
run_2	50.50637709687481	86.56188245844913	14.414789456194784	5.63273515512655	15.704265477130452	3328	1	2
run_3	43.311240921937504	74.59524911553771	13.046713972106092	5.659789171650294	14.457597107962654	3328	2	3
run_4	49.659833094902524	85.62688429887535	14.678907551117005	5.6426273414430606	13.092363852571435	3328	3	4
run_5	51.41971366656132	91.67360926341802	19.444820553683037	6.574248632987467	15.678080952749584	3328	4	5
run_6	51.90958342921603	90.71560667683121	15.675082916046895	5.756916755266895	14.866077221355663	3328	5	6
run_7	54.00748920462682	100.64763436519176	17.006639116793057	5.941021056601293	15.150179764837361	3328	6	7
run_8	55.262843609589794	107.45723477608786	17.195208796137873	6.374673869755526	14.730456710009413	3328	7	8
run_9	53.32610576866066	119.48840458147103	14.710694483653125	5.632834831299884	13.67028876134703	3327	8	9
run_10	55.180422182811405	96.2796832321494	17.57131206075292	6.297151536614264	15.033309489196355	3327	9	0
