MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test
73.14580020901676	139.30025626748113	24.662066548455304	8.085935942588716	21.293739136791814	5072
50.057431702256395	87.57672308447583	16.5818924033967	5.846966637740705	16.553551512273543	2954
40.435729173222974	71.90911991638107	13.060171573720558	5.487893562613329	14.157701477909713	2979
45.161329243129565	85.91252788097167	13.696407108061303	5.590050095123925	13.584446012722722	2878
51.57033303344754	105.34340542864342	20.5469479951551	6.476793762386631	15.472009697150556	2946
60.54806030275408	111.0635448868966	18.382213410404837	6.856890601147512	17.560051254525554	2951
54.988355498856784	100.29866514583395	17.96708543851166	6.493217693824632	16.592422768431558	2922
48.76803413381562	96.94620066414548	17.269603758845726	5.906359359233688	14.382230830167801	2929
50.81008799484822	103.79157692106355	15.766597907006645	5.786367452979263	13.908709707965398	2903
54.25192918550061	101.23788569559068	17.496052511669852	6.427386794566508	15.586844157311269	2892
