cc	MAE	RMSE	MRE	Mean_relative_error_max	Mean_relative_error_mean	n molecules test
cc_0	72.02787901412609	99.91550899631682	76.8343319560404	15.516561614417508	24.955400908327558	43
cc_1	34.797255867405944	46.94011577486973	11.478244422659758	3.1853950812345233	21.798618061628154	152
cc_10	125.71390540489784	182.5162598449672	16.11860228751041	7.059406188505045	25.97290539716868	65
cc_100	123.71994770291485	187.33715469329394	26.325587111878036	6.0325886556329955	15.72979662458526	79
cc_101	29.475080411783843	36.40205805486212	37.43367613827098	10.878019047750167	19.254019813644582	75
cc_102	43.13572466814961	53.542458853251006	29.07267263501321	10.635040598656213	19.21318034313305	54
cc_104	58.35635971661636	81.87426969067246	15.506129484591128	5.894581789557209	11.086889497280163	541
cc_106	333.4881374359131	443.0974149029486	38.11460497784136	11.82582047645082	24.412160009283703	160
cc_107	45.70346634433296	68.98037804376428	16.66998669214144	5.2172906785768225	23.679664238083557	263
cc_108	40.93384186133909	61.21432735479866	22.34474621963407	4.937260802496634	14.657956356839975	89
cc_109	49.51365034683891	65.25273181374688	8.673344042748498	4.0711766442064565	8.526590103040672	92
cc_11	87.55048899931069	118.86552032000228	14.755078268538988	5.491813385981097	19.189202195007876	85
cc_110	227.16105820505246	306.04072274942916	20.60946620832294	7.23627224149632	13.62928330703195	76
cc_111	77.18498519425539	102.16975575691912	16.002290280442818	5.416490189070555	14.685612019187028	97
cc_112	19.666817972979214	24.203520370832237	19.02033517900754	5.8360242063501016	19.424423199150215	127
cc_113	27.69862915039062	36.48052778147881	19.480890268042366	8.371453788615053	22.53884952632762	100
cc_114	60.712307440863704	74.40673532089522	19.305632074035252	11.009376462638036	17.98588030525426	90
cc_115	76.88152829798257	93.84157131293443	55.265608853796884	13.776570314658384	29.099116385818302	82
cc_116	30.153704872614227	47.29865698411728	13.987129359283195	6.274179124555601	9.195473893430473	79
cc_117	37.353286550014836	51.97036107998567	15.59234249795948	7.4646855615537255	11.312928943932665	79
cc_118	17.7400286187066	21.41379852152607	15.501717908284748	5.3249373011276	14.759202302199068	90
cc_12	92.34423964480133	131.59463738850818	16.108073187019468	5.623202998709132	19.02334126847943	94
cc_125	63.85201495982062	92.4927358097506	8.247553620737259	4.480843155075131	9.201426008884562	2763
cc_13	41.78968185226638	65.55849243950524	15.087213662084004	4.1806404414032	23.97838802532162	154
cc_14	23.221874760773225	35.206435078353785	9.756310936993378	4.059058689175533	12.155749243854217	472
cc_144	61.59142901102701	86.82345124876578	10.704473307931787	5.061754520958829	9.718803405597926	48
cc_147	73.34157672629479	113.03088425321774	14.965913164002247	5.623534663376868	10.052585407713023	1188
cc_148	70.98723542305358	101.09340969560154	13.032265744271056	5.520904301873057	9.333856493442447	1041
cc_149	36.7371019390999	49.1757976245871	39.9757131114424	8.781217597069485	19.92017125349333	235
cc_15	22.28474668909292	34.76769633265944	9.292485339662441	4.221555408254323	11.33682961114787	488
cc_150	57.96061828613281	87.06087062900191	15.375483176147489	8.648256980921039	16.679794608803935	20
cc_151	51.76170105949281	64.55820816970443	13.442903278671197	4.695833316050478	9.191034089113213	63
cc_152	52.00536344013517	71.65774577775812	10.2109874511209	4.473348768247245	7.6615933645857535	63
cc_153	47.52680725097656	58.49125736700069	13.037710636180222	4.3969661625475585	8.154680143209788	49
cc_154	47.07225096329399	58.45977205600854	9.610738191880948	3.868528185675049	6.230911998170785	46
cc_155	56.223886315482	71.97108247331627	13.820795923281334	5.137416512745067	9.725930759574197	56
cc_156	50.26961167335511	60.63205762444598	9.519392955123637	4.347830104943358	7.091844886505815	64
cc_157	50.351046091715496	67.22945255185056	11.627372732363497	4.923344684826	9.009276784231945	48
cc_158	58.8519288350768	81.53165363297146	10.262858157742112	5.200771371074302	8.10211010161993	59
cc_159	44.87424764811197	57.69145501838074	9.532165166738913	3.952981646239603	7.411801412273186	75
cc_16	22.778180595577656	34.269964336181914	10.089693557708152	4.007138940886928	11.992307104488525	467
cc_160	50.296719213867185	63.74462881682152	8.554563179736157	3.991042913561479	6.567961095354977	75
cc_161	46.24629451497396	58.69854583890021	9.180929839295352	4.166783302246546	7.5682381685415505	75
cc_162	64.74164649440817	84.6304412407317	10.75177503754166	5.209169844421501	8.870313323528226	73
cc_163	36.46682577311197	46.155019915377714	7.578108632306154	3.284234462076442	5.984625013967852	75
cc_164	48.84251955857918	61.80885215790972	8.505462436169397	4.2165233225058865	6.530883650711911	67
cc_165	48.60041100260416	62.27715893366997	10.012176468812326	4.3888537605299245	7.656762376847556	75
cc_166	51.11954756227257	62.21098447518858	8.471384667537777	4.434689045238443	6.536250243981635	73
cc_167	38.132417165395374	51.10312323817639	7.115889913970904	3.4600407561515842	5.989542960711907	74
cc_168	45.2194564046224	54.45398295281459	7.224730692420175	3.7118676455068296	5.6903812028194025	75
cc_169	39.20701634928386	48.419316162680374	7.787320501369095	3.51241814925857	6.171495367371832	75
cc_17	14.425019476823746	21.16171446438561	6.8543108839852485	3.626745984015624	7.914083333305214	314
cc_170	48.04473904622395	59.33082584266986	7.5593446239661715	3.9003684888962455	6.045442933018632	75
cc_171	57.14010736993016	75.33719735861922	12.142094443938811	4.841561376879359	9.513503739876057	47
cc_172	53.7046304321289	62.10480193724914	8.18122887167561	4.524247744989967	7.078085231888314	56
cc_173	53.3952620792389	64.49908668974159	11.6089204661347	5.265181840338313	8.950039110320512	64
cc_174	54.7853139449139	65.71809433344646	8.675499850715262	4.96513630097099	7.725943800365509	49
cc_175	48.28108546426851	65.86720217385884	9.181382080680246	4.639556951901572	7.706717410879829	73
cc_176	49.182311367923255	66.24209542788651	7.660745341283258	4.244977677189994	6.248662013452784	73
cc_177	45.63377512613931	60.338872705267455	8.788646748374953	4.463921345046301	7.270158494563432	36
cc_178	52.708143379905	67.27286924305118	7.9633180118878215	4.561106211483646	6.6395177179592	44
cc_179	19.106609978926805	29.415052451903136	9.034826339356234	3.660690879972182	11.222555445689501	247
cc_18	16.71254292723621	23.76349230597518	7.740927773757798	3.661658763252313	6.597790761795729	494
cc_185	43.58379220097745	64.10007624639816	11.412923966626133	4.511779730950046	9.363094536049047	2210
cc_186	45.678828178384514	64.9808305804045	11.892906147255134	4.728657161323448	9.608522987926712	1795
cc_187	51.01197698018637	65.60490892293424	19.918720396283774	5.867492176234917	14.298073334817406	83
cc_188	63.32807563977363	81.29871205639704	11.254736767988204	5.396052798208389	16.98298440936379	39
cc_189	69.94922637939453	86.49838683755368	12.948875407001204	5.709208813205562	17.967070676045246	44
cc_19	14.35307109618633	20.164079303670302	6.645519210520308	3.5587303124532212	7.352767177931649	481
cc_190	58.83649646261465	75.21292749313109	13.262036444330437	5.764892853479782	18.321617257037676	46
cc_191	63.40900519234794	83.17347485273217	15.638860190118558	5.00623758032117	15.808577721321939	56
cc_192	68.45406046549479	88.5675809133205	14.921260031252904	5.204840363860614	16.664604795505845	57
cc_193	29.746508518930828	39.92774238024562	11.364968265037358	4.381058134102746	14.243812156254382	418
cc_2	30.325087435933582	41.64892612389048	10.746271652868916	2.7836503980111598	19.292394197305804	149
cc_20	16.326333927672966	24.01160730136589	6.339970332194291	3.696584233952128	6.459545572826065	493
cc_21	15.030061402131722	20.650917720685758	7.6737460072933565	3.772037695661226	7.860026580910178	479
cc_22	15.9873318223913	22.14722816476748	6.640885006721601	3.672209624768307	6.663123789725678	474
cc_23	200.47850304805868	371.3270920519897	202.2992666631463	9.101902435669606	79.08003169910593	66
cc_24	110.05834389963455	161.26301121065654	21.98097915296507	6.971895597341606	38.79912166625706	31
cc_25	257.08853598540685	355.19323495940506	19.605829216927404	10.455853911884123	28.168203502037446	53
cc_26	24.97753167897676	33.417648303523734	17.379991979241282	5.5783302838522335	13.052545457776647	8899
cc_27	124.33287844340005	187.86805659612256	53.40511383317776	5.548098100999556	30.877846030276547	120
cc_28	124.27916193008424	163.25570449853967	11.872648901085775	5.48258169799207	17.074181871294005	64
cc_29	126.13566918373107	187.15241659371284	11.969890005107944	5.4307960554435155	17.62236915340523	64
cc_3	46.68078452662418	65.7440102039583	12.181316680898805	4.071945614674125	23.93631792665647	152
