cc	MAE	RMSE	MRE	Mean_relative_error_max	Mean_relative_error_mean	n molecules test
cc_0	108.77035522460938	135.36011692441278	104.19747335452105	23.431786993668545	37.68551647951453	5
cc_1	58.89190006256103	82.16124041267999	15.437324239002422	5.391056395327813	36.892622834371934	16
cc_10	220.02023053850442	249.44008555094936	18.170186559318555	12.355134239583581	45.456901643731605	7
cc_100	271.32187242296004	390.95701914597925	200.01034843524428	13.229663283839953	34.495956005922885	9
cc_101	45.96007312774659	57.98878734273497	90.86521919633165	16.961940185911793	30.022518896484698	8
cc_102	69.38063049316406	84.93503939261335	61.31739959919122	17.105678129478317	30.90298299705417	6
cc_104	59.25037131569605	75.80002786728019	14.20377647791578	5.984885991484448	11.256739156450395	55
cc_106	308.07095413208003	379.18283252600975	37.189600613985434	10.924501919577306	22.55155905786993	16
cc_107	60.610698784722224	96.79885007878815	21.761411764329335	6.9190295416349565	31.40332914017155	27
cc_108	82.89877923583985	106.78490542714984	23.546657518477097	9.99888783179426	29.68513662095096	10
cc_109	41.76778442382811	50.51794331009546	6.362879610493667	3.434285843103775	7.192698877974887	10
cc_11	250.45741644965275	318.4671059771847	58.76760239375619	15.71053923282228	54.89493046154796	9
cc_110	374.8947848849827	451.0044401203419	67.57407730415633	11.94236700066841	22.493059655119104	9
cc_111	227.85553200461644	274.57105542522885	30.927978460266047	15.989861895060802	43.3529647122909	11
cc_112	22.576671011788505	35.73813828284811	15.193175740439845	6.6995077040234134	22.298412115446826	14
cc_113	26.0083850402832	32.34592055253392	20.10652453405453	7.860605385886663	21.163468908982686	10
cc_114	100.56917697482638	114.91189808938257	26.392719597285904	18.236894239804585	29.793385488255897	9
cc_115	145.12689982096356	169.79828864902433	53.856111429527715	26.00560868382675	54.92950832396535	9
cc_116	68.59590318467882	86.46395579483787	32.638971243194746	14.272971948539078	20.918551786446283	9
cc_117	82.24291788736979	98.20335257159472	39.489639159845446	16.435435229290526	24.908337984014246	9
cc_118	27.362742546929255	33.118661582022696	19.551313277224445	8.213340101134401	22.765028257466415	9
cc_12	140.74668334960938	165.72093433662644	16.235115509370466	8.57061766834791	28.994468957295293	10
cc_125	51.3346991473587	70.6726554534517	6.617024766228152	3.602435027884821	7.397612059541142	277
cc_13	57.93157234191894	80.833712299839	18.258416180793677	5.795475424361639	33.240399518767504	16
cc_14	25.104849154154465	31.12433608412397	10.937273156469516	4.388192475817944	13.141413183322413	48
cc_144	166.6204833984375	202.42904119584813	25.86459680243414	13.693333612626356	26.291835528043787	6
cc_147	84.36870733642579	126.35392400365379	18.86006560857251	6.469050317547732	11.564022401684893	120
cc_148	60.03646857948909	90.95342453607064	9.373341623797831	4.669228146080549	7.893979512717199	105
cc_149	47.19792316436767	61.29935859879838	65.81143757837854	11.281652921973341	25.59240284663727	24
cc_15	31.127694152832035	40.72294505366767	14.943766052839216	5.896736787306213	15.8354667307616	50
cc_150	36.16681213378908	41.470082010534405	11.445017952124104	5.3964207898819865	10.408015233183422	2
cc_151	215.75629917689733	231.87593805667308	52.533470162988955	19.573460629861227	38.310632380426696	7
cc_152	177.55587402343753	210.32335588625546	63.35499217194076	15.272835296538462	26.15808863305305	7
cc_153	174.19739990234373	192.31772621580768	38.37271735611141	16.115958914084903	29.8889018671295	6
cc_154	176.7105314127604	211.5477850480537	23.374602719144892	14.52256175318544	23.391015892600823	6
cc_155	148.09047607421877	170.66089274668155	28.850454125783365	13.531658998009757	25.617541063745712	7
cc_156	320.87635846819194	362.587593516064	168.23993761005633	27.752668955906586	45.26801155317885	7
cc_157	241.51037556966148	262.7618762429592	50.236852851869685	23.61497756621311	43.21327933897464	6
cc_158	193.6845964704241	228.87124137632688	20.753800430877334	17.115994739344654	26.664443403185437	7
cc_159	175.03867889404296	213.11593585631033	81.43938895430946	15.419192996303995	28.91083406239313	8
cc_16	45.89586989084879	55.99691043204584	18.39611928600583	8.074004273247624	24.163359503153895	48
cc_160	172.06092208862304	236.23594771515667	82.9349084978476	13.653028160399849	22.468452415429233	8
cc_161	166.5429170227051	207.32981186628	75.89380673987687	15.005488613427133	27.25486386597681	8
cc_162	122.9880078125	166.99079989608148	42.45558806323429	9.895723328224069	16.850701571632698	8
cc_163	217.84374938964845	258.6772823494406	85.23701560548481	19.61920002428478	35.75066170675866	8
cc_164	215.70834045410157	251.78364987434097	44.33337759834543	18.62187406800145	28.843026255111393	8
cc_165	172.68069458007812	200.68898553136543	47.63220374895012	15.593907544075835	27.205017780565683	8
cc_166	97.5768502807617	141.04147872893705	16.14062026795108	8.464922121656752	12.476376295734074	8
cc_167	118.58644332885743	145.7150847517192	42.20107185707573	10.760239123190463	18.626634493047224	8
cc_168	220.32985351562496	275.4607812245254	53.353087463046265	18.085915215033573	27.726137299100827	8
cc_169	199.85495391845706	231.67142906978586	55.66294634711369	17.90429960568131	31.458755016347922	8
cc_17	16.78040237426758	25.229556355118454	9.569710732376716	4.218937590955796	9.206330914818835	32
cc_170	196.21263122558594	233.74695154695755	45.50516701702776	15.928935803343556	24.689326830778928	8
cc_171	182.43845011393228	234.36391120624756	62.35200686227085	15.458265557865808	30.374967030066454	6
cc_172	318.1550481305803	341.1040528425368	60.65438594113412	26.802386451221558	41.93173902331811	7
cc_173	174.47944405691962	214.7412384575741	39.731911287355345	17.205009669163378	29.24600025258776	7
cc_174	139.07175170898435	158.65112030986305	31.109245226548854	12.60392892051698	19.612200068842515	6
cc_175	167.26984222412108	195.6759586903022	66.97643472738986	16.073747138695524	26.69992592311919	8
cc_176	142.17761779785155	178.28809130697	49.95980968790579	12.271501622462589	18.063809015614332	8
cc_177	198.87337158203124	215.55643776084432	24.272297818002194	19.453904173223698	31.683570507875583	5
cc_178	275.50856445312496	353.1746437886114	106.61325583107691	23.841170340353493	34.70514948613097	5
cc_179	30.192088047907898	38.24541958030227	17.022714816484743	5.784589808772637	17.73377812769994	26
cc_18	29.107184875488283	39.9934631408854	15.883569201101142	6.377280766725445	11.490957199601675	50
cc_185	39.80941081465638	65.49939177741462	15.288546857392939	4.121057020150765	8.55224518241168	221
cc_186	40.557255998399526	55.76514654300819	11.000946383338373	4.19847370583846	8.531202356286723	180
