MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test
108.40418116902788	119.26379745978659	88.43892120550966	24.21033168863406	56.6489323567843	8236
217.80818987153486	678.8108804365872	20.964614040346465	9.29140452711986	20.368699724411634	746
75.3523752284259	117.67030902382088	18.35156856318167	7.069869436269596	17.21083391514491	3490
143.3397255830158	254.64580663880827	24.913691289866524	9.556419603422267	23.019526932716616	3426
131.58086905776887	212.65382034088015	53.18402391318811	26.739998553032983	66.73781022872465	3391
222.65646411915526	351.83998352074275	51.33088889121283	19.439171491597428	38.80562565702665	3362
62.58379117494599	114.26857419254804	19.463332807746085	6.023795146676597	17.26784163179234	3490
43.632258594763734	68.6355443386706	14.572170406612637	6.323744330503479	17.261421771072072	3468
57.212338319202516	122.90020979888779	30.719182377227032	7.142650921129362	21.7034716773503	3484
80.86816708992838	151.38631811064795	22.976330050442616	10.226147747177693	26.294047945341934	3462
