cc_id	mean_MAE	std_MAE	mean_RMSE	std_RMSE	mean_MRE	std_MRE	mean_rel_max_rt_error	std_rel_max_rt_error	mean_rel_mean_rt_error	std_rel_mean_rt_error
cc_0	86.8371797073719	29.637580675124585	110.99145175412099	36.814472884413306	90.81082006679146	112.78675618823647	18.706846123949145	6.384657620664496	30.086359101604945	10.268492114776583
cc_1	75.78936823794716	19.576875286072028	102.20816010118992	23.902170542886633	25.26449427188701	8.376944413816258	6.937876989925591	1.7920977010318586	47.47798210429007	12.263864392851183
cc_10	260.90361572265624	59.68851283758224	322.39991609474833	70.72205616872174	33.555641826304864	14.022140740768679	14.65092181730999	3.3517808197204757	53.90354318496728	12.33184262500696
cc_100	240.8110743887213	95.28453137080437	315.0906475644703	129.5636625837442	92.10752046046738	82.0183299584691	11.74195578385269	4.646076834635439	30.61680266935011	12.11450803010932
cc_101	40.62416966145834	10.94394685187248	51.85937551902419	13.653400801720757	58.3009469992539	26.29769668074209	14.992681451674907	4.03895292732229	26.536944315234862	7.148919242343582
cc_102	59.56896057128907	26.66360347395971	68.06238131963643	27.580737717513745	40.91584196360933	28.150458511646196	14.68662735978527	6.573866734210975	26.53274498374748	11.876295717392729
cc_104	73.81314657778925	14.342039134928438	101.27475386365809	20.886256659563067	21.14170482101538	4.714584505156436	7.455873391695883	1.4486908217099432	14.02346211327287	2.7247861900018955
cc_106	431.0213516998291	79.64487361109067	541.063916284272	110.38986034237313	72.2156802113439	48.931471966040974	15.284445095738622	2.8242862982656267	31.551833555507	5.830202577705668
cc_107	56.34376553727647	7.563499904949082	77.42703332851895	11.999714876742786	21.600952863944773	4.584313536059838	6.431936705168546	0.8634132311585706	29.192565828159456	3.9187648670805664
cc_108	73.93897087182891	24.68368415571117	96.36222103789207	29.890629932928462	36.17145944938182	18.321507903813103	8.918194971755309	2.9772379210342987	26.476728272421077	8.838954484312861
cc_109	54.5305589095406	22.480599511188203	82.38663472864894	45.35575847172105	8.514445359030603	3.3642072094985025	4.483683515009093	1.8484294944242885	9.39053615829901	3.8713133844868266
cc_11	260.7118182732077	64.00045132726908	310.690023340248	67.42749969774677	48.93239380692013	12.974156038706651	16.35377106217587	4.014581064312451	57.14247690280887	14.027535598349388
