cc	MAE	RMSE	MRE	Mean_relative_error_max	Mean_relative_error_mean	n molecules test
cc_0	173.95535583496093	183.86753255425342	339.6967981940562	37.474225729203134	60.27007464930138	4
cc_1	151.32426554361976	189.70607672842743	48.24731199328364	13.85245931376966	94.79655179164772	15
cc_10	317.43122151692705	341.4955267676747	47.11104060855099	17.825203364607315	65.58233204204976	6
cc_100	242.8831040736607	298.47992943656914	39.543350606148984	11.842988018375738	30.88024123483078	7
cc_101	77.811491960798	84.2031527915226	138.00361240299023	28.716966327427663	50.828835308062175	7
cc_102	28.26802124023436	33.3902752525128	9.192985978142582	6.969433244633718	12.590923050683426	5
cc_104	81.69042844419127	99.85058117445466	26.650966080496694	8.25155842870619	15.520035134890948	54
cc_106	637.6234710693359	750.8453271425442	187.5662946113648	22.610761385437446	46.67562187099024	16
cc_107	73.43884535569411	97.30003034713359	28.686863572612165	8.383429835124899	38.0497878859687	26
cc_108	82.66469055175781	93.51184794580176	17.89862123794694	9.970653079528853	29.60131205040301	8
cc_109	108.07551133897567	121.14004584951203	19.56051388266603	8.886327194456149	18.61134412245576	9
cc_11	336.44510650634766	385.2887502152295	30.38409029926936	21.104322325075124	73.74160041895482	8
cc_110	933.2578962053573	1094.8665461196483	301.95070175687	29.7291633602624	55.99391183688597	7
cc_111	236.4884779188368	305.8536630179894	36.21834134941719	16.595682660971008	44.99551337586571	9
cc_112	56.74877316792806	60.5114599920673	29.619755140307195	16.839898266396055	56.049340953931285	12
cc_113	20.682965393066404	22.515532105566784	7.8285158607920335	6.251085137082965	16.830083619715563	10
cc_114	133.53574598524307	151.21061619881496	28.003130550712243	24.214946865637224	39.559655117750694	9
cc_115	235.72924682617185	246.37838807206205	46.10611744320586	42.240842709775265	89.22185784795414	8
cc_116	57.16281912667411	66.13186998179876	18.59235998459089	11.894053085034143	17.431994283117376	7
cc_117	68.543017578125	85.65193794640078	24.364409078481884	13.697645399305559	20.75914488610769	7
cc_118	22.096232977973088	33.09255534974675	16.689416356094753	6.63251777816992	18.38344117971353	9
cc_12	206.38143174913193	232.73095782092136	33.598671442756306	12.567374969500179	42.51553126369973	9
cc_125	63.81620098611583	92.96142340991364	8.337739171056429	4.478329893762514	9.19626501859575	276
cc_13	61.10459960937498	89.55001979419454	20.62586050556933	6.112905122986694	35.061042214803265	15
cc_14	44.27221213482797	62.76613754513073	17.00123091241636	7.738544334002441	23.174783032193442	47
cc_144	264.34281616210933	279.7115417843747	29.116824891716618	21.724426048825556	41.7119054260244	4
cc_147	69.58072043208753	92.42497712965243	11.084268638415402	5.335167455055439	9.537102501683552	118
cc_148	76.14344620142228	103.02183288133935	12.213764623362922	5.921919302640578	10.011828119868188	104
cc_149	55.61801460597826	67.84626478242771	20.729017679824622	13.294295488569237	30.158077726626615	23
cc_15	42.292697181701655	55.98798155844831	20.971511873838967	8.011801390789888	21.51539384468281	48
cc_150	123.1340087890625	123.9782446760391	54.82639587800092	18.37272587124179	35.43526685345261	2
cc_151	282.6767248535156	308.3607340774974	122.13757750361144	25.644496897687144	50.19331592950155	6
cc_152	272.87463419596355	316.18122129526256	118.28361960789401	23.47187536092447	40.200747546475085	6
cc_153	194.82502258300784	235.77590699358592	31.757237252077537	18.024333664817078	33.42820262822111	4
cc_154	114.76382568359378	134.45983363082513	12.407982379470226	9.431609605818029	15.191185545078199	4
cc_155	234.46302978515624	278.39869764029476	106.72250847171429	21.423887955515006	40.558761459050565	5
cc_156	131.05652872721353	154.96793447248774	17.104488092276515	11.335108867601932	18.488954701631958	6
cc_157	98.96620544433594	134.87135097668758	13.293093845553294	9.676953695544729	17.707952591671905	4
cc_158	79.35135009765625	122.87700739837861	19.37214676240018	7.0123144306871925	10.924253256083805	5
cc_159	143.48600027901784	179.64268619716898	26.811694893191117	12.639711088708406	23.69933303058286	7
cc_16	42.95351676609205	52.751303342618456	18.315042182356645	7.556385329338547	22.614262895816218	46
