Bemis-Murcko scaffold	MAE	RMSE	MRE	Mean_relative_error_max	Mean_relative_error_mean	n molecules test
B1OCc2cc(Oc3ccccn3)ccc21	26.207173461914067	26.207173461914067	10.06535832158623	5.852951014363513	13.695121172417007	1
B1OCc2ccccc21	9.776633300781256	9.776633300781256	11.844721711632246	2.183453926384951	5.108989640071914	1
C(#CC(c1ccccc1)c1ccccc1)c1ccccc1	297.58681640625	297.58681640625	38.95625296586596	20.88328536184211	42.88389448797618	1
C(#CC1CCCC2NCCC12)c1ccccc1	39.67700805664063	39.67700805664063	16.57698268503891	8.861222095908664	20.73407244334593	1
C(#CC1CCCCC1)c1ccc2ncn(-c3ccncn3)c2c1	15.68546020507813	15.68546020507813	9.39980835685152	3.5030954540553263	8.196774004104322	1
C(#CC1CCCCO1)c1ccc2c(c1)C1(CCNCC1)c1cc(C#CC3CCCCO3)ccc1-2	14.831691894531247	14.831691894531247	12.292136494721735	3.312420022898706	7.750619042635411	1
C(#Cc1ccc2c(c1)N(c1ccncn1)CC2)Cc1nccs1	3.758883666992176	3.758883666992176	2.2072129577170734	0.8394862575916062	1.9642853651229755	1
C(#Cc1cccc2cc[nH]c12)c1ccc(OCCCCc2ccccc2)cc1	55.66192016601565	55.66192016601565	14.958860565981091	12.431195320264347	29.087331469408714	1
C(#Cc1ccccn1)c1ccc2c(c1)CCCS2	33.60262329101562	33.60262329101562	9.68877898939381	7.504605880609169	17.559772264274173	1
C(#Cc1ccccn1)c1ccccc1	84.884423828125	84.884423828125	45.846299664123684	18.957571875139585	44.358178178444	1
C(#Cc1ccccn1)c1cccnc1	57.54572509765626	57.54572509765626	39.1494149926228	12.851912876910903	30.07175418258332	1
C(#Cc1cn(-c2ccccc2)cn1)c1ccncc1	62.33870361328124	62.33870361328124	27.42935874214865	13.922347599893078	32.57642801334452	1
C(#Cc1cn(C2CCCO2)c2ncncc12)c1ccccc1	14.128367919921857	14.128367919921857	9.084598713941524	3.1553439163663253	7.383081999018727	1
C(#Cc1cnn2ccc(-c3ccccc3)nc12)c1cccnc1	0.7454150390624932	0.7454150390624932	0.3110042719720015	0.16647646932787502	0.3895326330608875	1
C(#Cc1cscn1)c1cccnc1	29.70050048828125	29.70050048828125	21.798532468463304	6.633129464061383	15.520634213359942	1
C(#Cc1n[nH]c2ncncc12)c1ccccc1	6.717836303710925	6.717836303710925	3.0827075549334277	1.500320775350841	3.510549595494747	1
C(#Cc1nc2ncccc2nc1OCCN1CCCC1)c1ccccc1	64.40453735351562	64.40453735351562	47.28153092795626	14.383718365534131	33.65597378869083	1
C(#Cc1nn(C2CCNC2)c2ncncc12)c1ccccc1	25.268672485351573	25.268672485351573	12.940376138347709	5.643351904000262	13.20468733707289	1
